facet_id,facet_name,domain,evaluation_question,scale_min,scale_max,scale_labels,reverse_scored,weight,requires_context,multi_turn,notes
LQ001,Grammatical Correctness,linguistic_quality,Is the text free of grammatical errors?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.06,False,False,
LQ002,Spelling Accuracy,linguistic_quality,Are all words spelled correctly?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.81,False,False,
LQ003,Punctuation Appropriateness,linguistic_quality,Is punctuation used correctly and appropriately?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.91,False,False,
LQ004,Sentence Fluency,linguistic_quality,Do sentences flow naturally and smoothly?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.89,False,False,
LQ005,Vocabulary Richness,linguistic_quality,Is the vocabulary varied and appropriately rich?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.09,False,False,
LQ006,Lexical Precision,linguistic_quality,Are word choices precise and contextually accurate?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.07,False,False,
LQ007,Syntactic Complexity,linguistic_quality,Is syntactic structure appropriately complex for the context?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.16,False,False,
LQ008,Morphological Accuracy,linguistic_quality,"Are morphological forms (plurals, tenses) used correctly?",1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.83,False,False,
LQ009,Discourse Coherence,linguistic_quality,Does the text maintain coherence across sentences?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.97,False,False,
LQ010,Cohesion Devices,linguistic_quality,"Are cohesive devices (connectors, pronouns) used effectively?",1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.81,False,False,
LQ011,Register Consistency,linguistic_quality,Is the register (formal/informal) consistent throughout?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.89,False,False,
LQ012,Clause Structure,linguistic_quality,Are subordinate and coordinate clauses well-structured?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.0,False,False,
LQ013,Anaphora Resolution,linguistic_quality,Are pronouns and references clearly resolvable?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.81,False,False,
LQ014,Redundancy Avoidance,linguistic_quality,Does the text avoid unnecessary repetition?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.88,False,False,
LQ015,Sentence Length Variety,linguistic_quality,Is sentence length appropriately varied?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.06,False,False,
LQ016,Active vs Passive Voice,linguistic_quality,Is voice (active/passive) used appropriately?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.02,False,False,
LQ017,Tense Consistency,linguistic_quality,Are tenses used consistently and correctly?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.89,False,False,
LQ018,Article Usage,linguistic_quality,Are articles (a/an/the) used correctly?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.04,False,False,
LQ019,Preposition Accuracy,linguistic_quality,Are prepositions used correctly?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.12,False,False,
LQ020,Idiom Appropriateness,linguistic_quality,Are idioms and fixed expressions used appropriately?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.8,False,False,
LQ021,Collocational Accuracy,linguistic_quality,Are word collocations natural and accurate?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.12,False,False,
LQ022,Nominal Group Complexity,linguistic_quality,Are noun phrases appropriately complex?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.08,False,False,
LQ023,Verbal Group Accuracy,linguistic_quality,Are verb groups formed correctly?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.94,False,False,
LQ024,Discourse Markers,linguistic_quality,Are discourse markers used effectively?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.86,False,False,
LQ025,Sentence Completeness,linguistic_quality,Are all sentences complete with subject and predicate?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.18,False,False,
LQ026,Parallelism,linguistic_quality,Are parallel structures maintained in lists and comparisons?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.93,False,False,
LQ027,Modifier Placement,linguistic_quality,Are modifiers placed correctly to avoid ambiguity?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.84,False,False,
LQ028,Subject-Verb Agreement,linguistic_quality,Do subjects and verbs agree in number?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,0.84,False,False,
LQ029,Pronoun-Antecedent Agreement,linguistic_quality,Do pronouns agree with their antecedents?,1,5,"1=Very Poor, 2=Poor, 3=Moderate, 4=Good, 5=Excellent",False,1.14,False,False,
