conversation_id,conversation_type,turn_id,speaker,text,facet_id,facet_name,domain,score,confidence
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ001,Grammatical Correctness,linguistic_quality,4,0.651
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ002,Spelling Accuracy,linguistic_quality,3,0.934
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ003,Punctuation Appropriateness,linguistic_quality,2,0.615
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ004,Sentence Fluency,linguistic_quality,4,0.616
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ005,Vocabulary Richness,linguistic_quality,3,0.728
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ006,Lexical Precision,linguistic_quality,3,0.75
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ007,Syntactic Complexity,linguistic_quality,2,0.908
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ008,Morphological Accuracy,linguistic_quality,4,0.881
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ009,Discourse Coherence,linguistic_quality,5,0.558
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ010,Cohesion Devices,linguistic_quality,5,0.798
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ011,Register Consistency,linguistic_quality,4,0.955
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ012,Clause Structure,linguistic_quality,3,0.718
